period,Pop,Rock,Country,R&B,Rap/Hip Hop,Alternative,Dance,Electro,Films/Games,Latin Music,Christian,Reggae,Jazz,Folk,Metal,Singer & Songwriter,Reggaeton,Asian Music,Disco,Traditional Mexicano,Classical,Kids
1961-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-01,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977-01-01,0.45,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-01-01,0.38461538461538464,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-01-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-01-01,0.6744186046511628,0.32558139534883723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-01-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01-01,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-01-01,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-01-01,0.5028058361391695,0.2828282828282828,0.0,0.11185933408155631,0.03254769921436588,0.00935278713056491,0.00935278713056491,0.029928918817807706,0.0,0.0,0.0007482229704451926,0.0037411148522259632,0.00411522633744856,0.012719790497568275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-01-01,0.49258727881396464,0.2965088474414156,0.0,0.0781922525107604,0.04375896700143472,0.01721664275466284,0.0392156862745098,0.01291248206599713,0.005499760879961741,0.0,0.0,0.0028694404591104736,0.001673840267814443,0.001673840267814443,0.005738880918220947,0.0,0.0,0.0,0.0,0.0,0.002152080344332855,0.0
1990-01-01,0.4623941958887545,0.271825876662636,0.0038694074969770256,0.09649334945586457,0.05513905683192261,0.01426844014510278,0.045707376058041115,0.03361547762998791,0.0038694074969770256,0.0,0.0,0.009189842805320435,0.0036275695284159614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-01,0.3882590073066264,0.291005291005291,0.01562106324011086,0.12270093222474175,0.06449987402368355,0.018140589569160998,0.0435878054925674,0.033005794910556815,0.0,0.0,0.013353489543965735,0.0025195263290501385,0.005794910556815319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015117157974300832
1992-01-01,0.33325123152709357,0.20517241379310344,0.02413793103448276,0.15541871921182265,0.11182266009852217,0.02561576354679803,0.06330049261083744,0.03694581280788178,0.022413793103448276,0.0,0.013546798029556651,0.0019704433497536944,0.0032019704433497538,0.0004926108374384236,0.00270935960591133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-01-01,0.33451686533096625,0.13695155972609688,0.029672837940654326,0.20568095358863808,0.16713162566573675,0.02282525995434948,0.05021557189956886,0.01394876997210246,0.02003550595992899,0.0,0.003043367993913264,0.004818665990362668,0.006086735987826528,0.002789753994420492,0.001014455997971088,0.0,0.0,0.0,0.00126806999746386,0.0,0.0,0.0
1994-01-01,0.3351295868616885,0.13240954580446498,0.04849884526558892,0.20913523222992045,0.15011547344110854,0.037464716448550164,0.04080061585835258,0.010007698229407237,0.0,0.01180395175776238,0.006671798819604825,0.008468052347959968,0.001796253528355145,0.001539645881447267,0.003849114703618168,0.0,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0
1995-01-01,0.32871083718541344,0.1263482280431433,0.026194144838212634,0.19003595274781715,0.22342064714946072,0.02465331278890601,0.01926040061633282,0.037236774524910116,0.011556240369799691,0.0035952747817154596,0.003852080123266564,0.0,0.0,0.0,0.0,0.0,0.0,0.005136106831022085,0.0,0.0,0.0,0.0
