song,artist,song_clean,artist_clean
Easy On Me,Adele,Easy On Me,Adele
Stay,The Kid LAROI & Justin Bieber,Stay,The Kid LAROI
Industry Baby,Lil Nas X & Jack Harlow,Industry Baby,Lil Nas
Fancy Like,Walker Hayes,Fancy Like,Walker Hayes
Bad Habits,Ed Sheeran,Bad Habits,Ed Sheeran
Way 2 Sexy,Drake Featuring Future & Young Thug,Way 2 Sexy,Drake
Shivers,Ed Sheeran,Shivers,Ed Sheeran
Good 4 U,Olivia Rodrigo,Good 4 U,Olivia Rodrigo
Need To Know,Doja Cat,Need To Know,Doja Cat
Levitating,Dua Lipa,Levitating,Dua Lipa
Essence,Wizkid Featuring Justin Bieber & Tems,Essence,Wizkid
Kiss Me More,Doja Cat Featuring SZA,Kiss Me More,Doja Cat
Heat Waves,Glass Animals,Heat Waves,Glass Animals
Beggin',Maneskin,Beggin',Maneskin
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart,Elton John
You Right,Doja Cat & The Weeknd,You Right,Doja Cat
Save Your Tears,The Weeknd & Ariana Grande,Save Your Tears,The Weeknd
If I Didn't Love You,Jason Aldean & Carrie Underwood,If I Didn't Love You,Jason Aldean
Traitor,Olivia Rodrigo,Traitor,Olivia Rodrigo
My Universe,Coldplay x BTS,My Universe,Coldplay
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??,Nardo Wick
Knife Talk,Drake Featuring 21 Savage & Project Pat,Knife Talk,Drake
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,THE ANXIETY: WILLOW
Montero (Call Me By Your Name),Lil Nas X,Montero,Lil Nas X
Chasing After You,Ryan Hurd With Maren Morris,Chasing After You,Ryan Hurd
Girls Want Girls,Drake Featuring Lil Baby,Girls Want Girls,Drake
Moth To A Flame,Swedish House Mafia & The Weeknd,Moth To A Flame,Swedish House Mafia
Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,Let's Go Brandon,Bryson Gray
Thats What I Want,Lil Nas X,Thats What I Want,Lil Nas X
Pepas,Farruko,Pepas,Farruko
Love Nwantiti (Ah Ah Ah),CKay,Love Nwantiti,CKay
Take My Breath,The Weeknd,Take My Breath,The Weeknd
Happier Than Ever,Billie Eilish,Happier Than Ever,Billie Eilish
Wockesha,Moneybagg Yo,Wockesha,Moneybagg Yo
Better Days,NEIKED X Mae Muller X Polo G,Better Days,NEIKED
Buy Dirt,Jordan Davis Featuring Luke Bryan,Buy Dirt,Jordan Davis
Ghost,Justin Bieber,Ghost,Justin Bieber
Lets Go Brandon,Loza Alexander,Lets Go Brandon,Loza Alexander
Cold As You,Luke Combs,Cold As You,Luke Combs
A-O-K,Tai Verdes,A-O-K,Tai Verdes
You Should Probably Leave,Chris Stapleton,You Should Probably Leave,Chris Stapleton
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,Silk Sonic (Bruno Mars
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,Dustin Lynch
Memory I Don't Mess With,Lee Brice,Memory I Don't Mess With,Lee Brice
Bubbly,Young Thug With Drake & Travis Scott,Bubbly,Young Thug
Wild Side,Normani Featuring Cardi B,Wild Side,Normani
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations,Meek Mill
Gyalis,Capella Grey,Gyalis,Capella Grey
I Was On A Boat That Day,Old Dominion,I Was On A Boat That Day,Old Dominion
Family Ties,Baby Keem & Kendrick Lamar,Family Ties,Baby Keem
Have Mercy,Chloe,Have Mercy,Chloe
Fair Trade,Drake Featuring Travis Scott,Fair Trade,Drake
Same Boat,Zac Brown Band,Same Boat,Zac Brown Band
My Boy,Elvie Shane,My Boy,Elvie Shane
Hurricane,Kanye West,Hurricane,Kanye West
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,Chosen,Blxst
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",Baddest,Yung Bleu
