song,artist,genre
Firework,Katy Perry,Pop
What's My Name?,Rihanna,Pop
Grenade,Bruno Mars,Pop
Raise Your Glass,P!nk,Pop
We R Who We R,Ke$ha,Pop
Only Girl,Rihanna,Pop
Just The Way You Are,Bruno Mars,Pop
The Time,The Black Eyed Peas,
Just A Dream,Nelly,Rap/Hip Hop
Bottoms Up,Trey Songz,R&B
Black And Yellow,Wiz Khalifa,Rap/Hip Hop
Like A G6,Far*East Movement,Pop
DJ Got Us Fallin' In Love,Usher,R&B
Dynamite,Taio Cruz,Pop
Tonight,Enrique Iglesias,Pop
No Hands,Waka Flocka Flame,Rap/Hip Hop
Please Don't Go,Mike Posner,Pop
That's All She Wrote,T.I.,Rap/Hip Hop
Stereo Love,Edward Maya,Electro
Teenage Dream,Katy Perry,Pop
Animal,Neon Trees,Alternative
Yeah 3X,Chris Brown,R&B
F**k You!,CeeLo Green,
Coming Home,Diddy - Dirty Money,Rap/Hip Hop
Secrets,OneRepublic,Rock
Right Thru Me,Nicki Minaj,Rap/Hip Hop
Whip My Hair,WILLOW,Pop
If I Die Young,The Band Perry,Country
Right Above It,Lil Wayne,Rap/Hip Hop
Club Can't Handle Me,Flo Rida,Rap/Hip Hop
I Like It,Enrique Iglesias,Pop
Hey Baby,Pitbull,Pop
Aston Martin Music,Rick Ross,Rap/Hip Hop
Back To December,Taylor Swift,
Christmas Lights,Coldplay,
Deuces,Chris Brown,R&B
Somewhere With You,Kenny Chesney,Country
No Love,Eminem,Rap/Hip Hop
My Kinda Party,Jason Aldean,Country
Love The Way You Lie,Eminem,Rap/Hip Hop
Felt Good On My Lips,Tim McGraw,Country
Love Like Woe,The Ready Set,Pop
Stuck Like Glue,Sugarland,Country
Can't Be Friends,Trey Songz,R&B
Pretty Girl Rock,Keri Hilson,R&B
Memories,David Guetta,Dance
As She's Walking Away,Zac Brown Band,Country
Dog Days Are Over,Florence + The Machine,Alternative
Jar Of Hearts,Christina Perri,Pop
Mine,Taylor Swift,
We No Speak Americano,Yolanda Be Cool,Electro
Kush,Dr. Dre,Rap/Hip Hop
Turn On The Radio,Reba,Country
Who Are You When I'm Not Looking,Blake Shelton,Country
Rhythm of Love,Plain White T's,Pop
Mama's Song,Carrie Underwood,Country
"Baby, It's Cold Outside",Glee Cast,
Why Wait,Rascal Flatts,Country
Welcome Christmas,Glee Cast,Pop
Rocketeer,Far*East Movement,Pop
Put You In A Song,Keith Urban,Country
Down On Me,Jeremih,R&B
Only Prettier,Miranda Lambert,Country
Lay It Down,Lloyd,R&B
Hold My Hand,Michael Jackson Duet,
