song,artist,genre
Easy On Me,Adele,Pop
Stay,The Kid LAROI,Alternative
Industry Baby,Lil Nas,Rap/Hip Hop
Fancy Like,Walker Hayes,Country
Bad Habits,Ed Sheeran,Pop
Way 2 Sexy,Drake,Rap/Hip Hop
Shivers,Ed Sheeran,Pop
Good 4 U,Olivia Rodrigo,Pop
Need To Know,Doja Cat,Pop
Levitating,Dua Lipa,Pop
Essence,Wizkid,R&B
Kiss Me More,Doja Cat,Pop
Heat Waves,Glass Animals,Pop
Beggin',Maneskin,Pop
Cold Heart,Elton John,Pop
You Right,Doja Cat,Pop
Save Your Tears,The Weeknd,R&B
If I Didn't Love You,Jason Aldean,Country
Traitor,Olivia Rodrigo,Pop
My Universe,Coldplay,Alternative
Who Want Smoke??,Nardo Wick,Rap/Hip Hop
Knife Talk,Drake,Rap/Hip Hop
Meet Me At Our Spot,THE ANXIETY: WILLOW,Alternative
Montero,Lil Nas X,Pop
Chasing After You,Ryan Hurd,
Girls Want Girls,Drake,Rap/Hip Hop
Moth To A Flame,Swedish House Mafia,Dance
Let's Go Brandon,Bryson Gray,Rap/Hip Hop
Thats What I Want,Lil Nas X,Pop
Pepas,Farruko,Dance
Love Nwantiti,CKay,African Music
Take My Breath,The Weeknd,R&B
Happier Than Ever,Billie Eilish,Alternative
Wockesha,Moneybagg Yo,Rap/Hip Hop
Better Days,NEIKED,Pop
Buy Dirt,Jordan Davis,Country
Ghost,Justin Bieber,Pop
Lets Go Brandon,Loza Alexander,Rap/Hip Hop
Cold As You,Luke Combs,Country
A-O-K,Tai Verdes,
You Should Probably Leave,Chris Stapleton,Country
Leave The Door Open,Silk Sonic (Bruno Mars,Pop
Thinking 'Bout You,Dustin Lynch,Country
Memory I Don't Mess With,Lee Brice,Country
Bubbly,Young Thug,Rap/Hip Hop
Wild Side,Normani,Pop
Sharing Locations,Meek Mill,Rap/Hip Hop
Gyalis,Capella Grey,R&B
I Was On A Boat That Day,Old Dominion,Country
Family Ties,Baby Keem,Rap/Hip Hop
Have Mercy,Chloe,R&B
Fair Trade,Drake,Rap/Hip Hop
Same Boat,Zac Brown Band,Country
My Boy,Elvie Shane,Country
Hurricane,Kanye West,Rap/Hip Hop
Chosen,Blxst,Rap/Hip Hop
Baddest,Yung Bleu,R&B
Knowing You,Kenny Chesney,Country
Memory,Kane Brown,Country
Cold Beer Calling My Name,Jameson Rodgers,Country
Not In The Mood,Lil Tjay,Rap/Hip Hop
Pissed Me Off,Lil Durk,Rap/Hip Hop
Woman,Doja Cat,Pop
Sand In My Boots,Morgan Wallen,Country
'Til You Can't,Cody Johnson,Country
Love Again,Dua Lipa,Pop
Whiskey And Rain,Michael Ray,Country
One Mississippi,Kane Brown,Country
Switches & Dracs,Moneybagg Yo,Rap/Hip Hop
Jugaste y Sufri,Eslabon Armado,Traditional Mexicano
Too Easy,Gunna,Rap/Hip Hop
Esta Danada,Ivan Cornejo,
Volvi,Aventura,Reggaeton
Tequila Little Time,Jon Pardi,Country
Whole Lotta Money,BIA,Rap/Hip Hop
2055,Sleepy Hallow,Rap/Hip Hop
Maybach,42 Dugg,Rap/Hip Hop
WFM,Realestk,R&B
Poke It Out,Wale,Rap/Hip Hop
Praise God,Kanye West,Rap/Hip Hop
Lo Siento BB:/,Tainy,Rap/Hip Hop
Freedom Was A Highway,Jimmie Allen,Country
For Tonight,Giveon,R&B
Thot Shit,Megan Thee Stallion,Rap/Hip Hop
Like A Lady,Lady A,Country
Get Into It,Doja Cat,Pop
Scorpio,Moneybagg Yo,Rap/Hip Hop
Big Energy,Latto,Alternative
Half Of My Hometown,Kelsea Ballerini,Country
Money,Lisa,Asian Music
No Friends In The Industry,Drake,Rap/Hip Hop
Ya Superame,Grupo Firme,Traditional Mexicano
Who's In Your Head,Jonas Brothers,Pop
In The Bible,Drake,Rap/Hip Hop
Just About Over You,Priscilla Block,Country
To Be Loved By You,Parker McCollum,Country
Ain't Shit,Doja Cat,Pop
Life Goes On,Oliver Tree,Alternative
Come Through,H.E.R.,R&B
Nevada,YoungBoy Never Broke Again,Rap/Hip Hop
Leave Before You Love Me,Marshmello,Pop
Deja Vu,Olivia Rodrigo,Pop
Ex For A Reason,Summer Walker,R&B
Late At Night,Roddy Ricch,Rap/Hip Hop
Livin It Up,Young Thug,Rap/Hip Hop
Stressed,Young Thug,Rap/Hip Hop
Rich N***a Shit,Young Thug,
Yonaguni,Bad Bunny,Reggaeton
Champagne Poetry,Drake,Rap/Hip Hop
Let Somebody Go,Coldplay,Alternative
You Time,Scotty McCreery,Country
Peepin Out The Window,Young Thug,Rap/Hip Hop
Woo Baby,Pop Smoke,Rap/Hip Hop
Flocky Flocky,Don Toliver,Rap/Hip Hop
Peaches,Justin Bieber,Pop
Todo de Ti,Rauw Alejandro,Dance
Drinkin' Beer. Talkin' God. Amen.,Chase Rice,Country
Your Heart,Joyner Lucas,Rap/Hip Hop
Summer Of Love,Shawn Mendes,Pop
Waves,Luke Bryan,Country
Life Support,YoungBoy Never Broke Again,Rap/Hip Hop
Bad Morning,YoungBoy Never Broke Again,Rap/Hip Hop
Intro,Meek Mill,Rap/Hip Hop
Drunk,Elle King,Alternative
Butter,BTS,Asian Music
Hot,Meek Mill,Rap/Hip Hop
Expensive Pain,Meek Mill,Rap/Hip Hop
On My Soul,Meek Mill,Rap/Hip Hop
Blue Note$ II,Meek Mill,
Outside,Meek Mill,Rap/Hip Hop
Last One Standing,Skylar Grey,Rap/Hip Hop
The Feels,TWICE,Asian Music
Me,Meek Mill,R&B
Love Train,Meek Mill,Rap/Hip Hop
Feelin Like Tunechi,Lil Wayne,Rap/Hip Hop
Ride For You,Meek Mill,Rap/Hip Hop
TSU,Drake,Rap/Hip Hop
Love All,Drake,Rap/Hip Hop
No Where,YoungBoy Never Broke Again,Rap/Hip Hop
On My Side,YoungBoy Never Broke Again,Rap/Hip Hop
Things A Man Oughta Know,Lainey Wilson,Country
Hold Me Down,YoungBoy Never Broke Again,Rap/Hip Hop
50 Shots,YoungBoy Never Broke Again,Rap/Hip Hop
Smoke Strong,YoungBoy Never Broke Again,Rap/Hip Hop
Break Or Make Me,YoungBoy Never Broke Again,Rap/Hip Hop
Sincerely,YoungBoy Never Broke Again,Rap/Hip Hop
I Can't Take It Back,YoungBoy Never Broke Again,Rap/Hip Hop
Rumors,Lizzo,Pop
Forgiato,YoungBoy Never Broke Again,Rap/Hip Hop
Rich Shit,YoungBoy Never Broke Again,Rap/Hip Hop
N 2 Deep,Drake,Rap/Hip Hop
Baddest Thing,YoungBoy Never Broke Again,Rap/Hip Hop
Pipe Down,Drake,Rap/Hip Hop
Papi's Home,Drake,Rap/Hip Hop
Toxic Punk,YoungBoy Never Broke Again,Rap/Hip Hop
Moon,Kanye West,Rap/Hip Hop
Wildest Dreams,Taylor Swift,
Arcade,Duncan Laurence,Pop
Scoop,Lil Nas,Pop
Dolla Sign Slime,Lil Nas,Pop
Lonely,DaBaby,Rap/Hip Hop
Dead Right Now,Lil Nas X,Pop
Tales Of Dominica,Lil Nas X,Pop
One Of Me,Lil Nas,Pop
Race My Mind,Drake,Rap/Hip Hop
Lost In The Citadel,Lil Nas X,Pop
Sun Goes Down,Lil Nas X,Alternative
7am On Bridle Path,Drake,Rap/Hip Hop
Off The Grid,Kanye West,Rap/Hip Hop
In Da Getto,J Balvin,Rap/Hip Hop
Skate,Silk Sonic (Bruno Mars,Pop
Am I Dreaming,Lil Nas,Pop
Don't Go Yet,Camila Cabello,Pop
Country Again,Thomas Rhett,Country
Range Brothers,Baby Keem,Rap/Hip Hop
Every Chance I Get,DJ Khaled,Rap/Hip Hop
IMY2,Drake,Rap/Hip Hop
Yebba's Heartbreak,Drake,Rap/Hip Hop
Get Along Better,Drake,Rap/Hip Hop
You Only Live Twice,Drake,Rap/Hip Hop
Lalisa,Lisa,Asian Music
Fountains,Drake,Rap/Hip Hop
Single Saturday Night,Cole Swindell,Country
We Didn't Have Much,Justin Moore,Country
Jail,Kanye West,Rap/Hip Hop
Fucking Fans,Drake,
The Remorse,Drake,Rap/Hip Hop
Ok Ok,Kanye West,Rap/Hip Hop
Junya,Kanye West,Rap/Hip Hop
Believe What I Say,Kanye West,Rap/Hip Hop
Jonah,Kanye West,Rap/Hip Hop
Jesus Lord,Kanye West,Rap/Hip Hop
Motley Crew,Post Malone,Rap/Hip Hop
Remote Control,Kanye West,Rap/Hip Hop
God Breathed,Kanye West,Rap/Hip Hop
Heartbreak Anniversary,Giveon,R&B
Forever After All,Luke Combs,
Heaven And Hell,Kanye West,Rap/Hip Hop
24,Kanye West,Rap/Hip Hop
Pure Souls,Kanye West,Rap/Hip Hop
No Child Left Behind,Kanye West,
Donda,Kanye West,Rap/Hip Hop
Keep My Spirit Alive,Kanye West,Rap/Hip Hop
Jail Pt 2,Kanye West,Rap/Hip Hop
"I Am Not A Woman, I'm A God",Halsey,Alternative
New Again,Kanye West,Rap/Hip Hop
Lord I Need You,Kanye West,Rap/Hip Hop
Come To Life,Kanye West,Rap/Hip Hop
Tell The Vision,Kanye West,Rap/Hip Hop
Brutal,Olivia Rodrigo,Pop
AM,Nio Garcia,Reggaeton
Repeat It,Lil Tecca,Rap/Hip Hop
Matt Hardy 999,Trippie Redd,Rap/Hip Hop
Blinding Lights,The Weeknd,R&B
Glad You Exist,Dan + Shay,Country
Without You,The Kid LAROI,Rap/Hip Hop
Astronaut In The Ocean,Masked Wolf,Rap/Hip Hop
Rapstar,Polo G,Rap/Hip Hop
Famous Friends,Chris Young + Kane Brown,Country
Lil Bit,Nelly,Country
Beautiful Mistakes,Maroon 5,Pop
Rich MF,Trippie Redd,Rap/Hip Hop
Already Won,Rod Wave,Rap/Hip Hop
Betrayal,Trippie Redd,Rap/Hip Hop
Don't Go,Skrillex,Pop
Tombstone,Rod Wave,Rap/Hip Hop
Visiting Hours,Ed Sheeran,Pop
Holy Smokes,Trippie Redd,Rap/Hip Hop
Miss The Rage,Trippie Redd,Rap/Hip Hop
You,Regard,Dance
MP5,Trippie Redd,Rap/Hip Hop
Paralyzed,Sueco,Alternative
I Guess I'm In Love,Clinton Kane,Pop
Get Ready,Rod Wave,Rap/Hip Hop
Danny Phantom,Trippie Redd,Rap/Hip Hop
What's Wrong,Rod Wave,Rap/Hip Hop
Demon Time,Trippie Redd,Rap/Hip Hop
Tick Tock,Young Thug,Rap/Hip Hop
Permission To Dance,BTS,Asian Music
Time Heals,Rod Wave,Rap/Hip Hop
Mind Of Melvin,YNW Melly,Rap/Hip Hop
Papercuts,Machine Gun Kelly,
SUVs,Jack Harlow,
Straightenin,Migos,Rap/Hip Hop
Blame It On You,Jason Aldean,Country
Hats Off,Lil Baby,Rap/Hip Hop
Over The Top,Smiley,Rap/Hip Hop
Brainwashed,Tom MacDonald,Rap/Hip Hop
my.life,J. Cole,
WUSYANAME,Tyler,Rap/Hip Hop
Favorite Crime,Olivia Rodrigo,Pop
Outside,MO3,Rap/Hip Hop
Ball If I Want To,DaBaby,Rap/Hip Hop
Next Girl,Carly Pearce,Country
I Like Dat,T-Pain,R&B
Steal My Love,Dan + Shay,Country
5500 Degrees,EST Gee,Rap/Hip Hop
Telepatia,Kali Uchis,Latin Music
My Ex's Best Friend,Machine Gun Kelly,
NDA,Billie Eilish,Alternative
EPMD 2,Nas,Rap/Hip Hop
Lose,KSI,Rap/Hip Hop
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,Pop
Not Sober,The Kid LAROI,Rap/Hip Hop
Happier,Olivia Rodrigo,Pop
Twerkulator,City Girls,Rap/Hip Hop
Fiel,Los Legendarios,Reggaeton
Rare,Nas,Rap/Hip Hop
Best Friend,Saweetie,Rap/Hip Hop
Mood,24kGoldn,Alternative
One Too Many,Keith Urban Duet,
Getting Older,Billie Eilish,Alternative
Billie Bossa Nova,Billie Eilish,Alternative
Oxytocin,Billie Eilish,Alternative
I Didn't Change My Number,Billie Eilish,Alternative
Way Less Sad,AJR,Alternative
Lost Cause,Billie Eilish,Alternative
Halley's Comet,Billie Eilish,Alternative
My Future,Billie Eilish,Alternative
Build A Bitch,Bella Poarch,Pop
From The Garden,Isaiah Rashad,Rap/Hip Hop
Working,Tate McRae,Pop
Wants And Needs,Drake,Rap/Hip Hop
Settling Down,Miranda Lambert,Country
Gone,Dierks Bentley,Country
Red Light Green Light,DaBaby,Rap/Hip Hop
Better Believe,Belly,Rap/Hip Hop
Lick Back,EST Gee,Rap/Hip Hop
Ski,Young Thug,Rap/Hip Hop
Minimum Wage,Blake Shelton,Country
Still Chose You,The Kid LAROI,Rap/Hip Hop
Drivers License,Olivia Rodrigo,Pop
Tell The Vision,Pop Smoke,Rap/Hip Hop
pov,Ariana Grande,Pop
Bout A Million,Pop Smoke,Rap/Hip Hop
Mr. Jones,Pop Smoke,Rap/Hip Hop
More Time,Pop Smoke,Rap/Hip Hop
Manslaughter,Pop Smoke,Rap/Hip Hop
Demeanor,Pop Smoke,Rap/Hip Hop
transparentsoul,Willow,
Am I The Only One,Aaron Lewis,Country
30,Pop Smoke,Rap/Hip Hop
"Jealousy, Jealousy",Olivia Rodrigo,Pop
Calling My Phone,Lil Tjay,Rap/Hip Hop
Breaking Up Was Easy In The 90's,Sam Hunt,Country
The Jackie,Bas,Rap/Hip Hop
Follow You,Imagine Dragons,Alternative
Volando,Mora,Latin Music
4 Da Gang,42 Dugg,Rap/Hip Hop
De Museo,Bad Bunny,Latin Music
Wasting Time,Brent Faiyaz,R&B
All I Know So Far,P!nk,Pop
Track Star,Mooski,R&B
Renegade,Big Red Machine,Alternative
Cry No More,G Herbo,Rap/Hip Hop
Made For You,Jake Owen,Country
Having Our Way,Migos,Rap/Hip Hop
What's Next,Drake,Rap/Hip Hop
Enough For You,Olivia Rodrigo,Pop
Juggernaut,Tyler,Rap/Hip Hop
Tell Em,Cochise,Rap/Hip Hop
Lemonhead,Tyler,Rap/Hip Hop
Lumberjack,Tyler,Rap/Hip Hop
Almost Maybes,Jordan Davis,Country
Hot Wind Blows,Tyler,Rap/Hip Hop
Corso,Tyler,Rap/Hip Hop
I Don't Do Drugs,Doja Cat,Rap/Hip Hop
Sir Baudelaire,Tyler,Rap/Hip Hop
Sweet / I Thought You Wanted To Dance,Tyler,Rap/Hip Hop
Massa,Tyler,Rap/Hip Hop
RunItUp,Tyler,Rap/Hip Hop
Manifesto,Tyler,Rap/Hip Hop
Wilshire,Tyler,Rap/Hip Hop
Rise!,Tyler,Rap/Hip Hop
What You Know Bout Love,Pop Smoke,Rap/Hip Hop
Time Today,Moneybagg Yo,Rap/Hip Hop
Up,Cardi B,Rap/Hip Hop
Beat Box,SpotemGottem,Rap/Hip Hop
Nobody,Dylan Scott,Country
No Return,Polo G,Rap/Hip Hop
No More Parties,Coi Leray,Rap/Hip Hop
Quicksand,Morray,Rap/Hip Hop
Gang Gang,Polo G,Rap/Hip Hop
Pick Up Your Feelings,Jazmine Sullivan,R&B
Avalanche,Migos,Rap/Hip Hop
We're Good,Dua Lipa,Pop
pride.is.the.devil,J. Cole,
Still Runnin,Lil Baby,Rap/Hip Hop
How It Feels,Lil Baby,Rap/Hip Hop
Black Hearted,Polo G,Rap/Hip Hop
Painting Pictures,Polo G,Rap/Hip Hop
Modern Day,Migos,Rap/Hip Hop
Toxic,Polo G,Rap/Hip Hop
Solar Power,Lorde,Alternative
Malibu,Migos,Rap/Hip Hop
Type Shit,Migos,Rap/Hip Hop
Clueless,Polo G,Rap/Hip Hop
Voice Of The Heroes,Lil Baby,Rap/Hip Hop
Heart Of A Giant,Polo G,Rap/Hip Hop
